Time,Basebldg299,Basebldg300,Basebldg301,Basebldg302,Basebldg303,Basebldg304,Basebldg305,BaseSOC,BaseSOC%,BaseTESindex,BasePower,DFbldg299,DFbldg300,DFbldg301,DFbldg302,DBbldg303,DFbldg304,DFbldg305,DFSOC,DFSOC%,DFTESindex,DFPower,BaselineTotalChillers,DFTotalChillers,kWh Diff,Acc kWh Saving,$ Saving,Acc $ Saving
2019-07-01T00:00,1,1,1,2,0,1,0,5780713.966,100,1,15118.50779,0,0,0,2,0,0,0,4422844.964,76.51035825,0,105.1401751,4,0,15013.36761,15013.36761,600.5347044,600.5347044
2019-07-01T01:00,1,0,0,2,1,0,1,5780713.966,100,1,10203.36582,1,0,1,2,0,1,0,4751854.803,82.20186695,1,9340.361415,3,3,863.0044012,15876.37201,34.52017605,635.0548805
2019-07-01T02:00,1,0,0,2,1,0,1,5780713.966,100,1,9627.905287,1,0,1,2,0,1,0,5098780.807,88.20330563,1,8830.558683,3,3,797.346604,16673.71862,31.89386416,666.9487446
2019-07-01T03:00,1,0,0,2,1,0,1,5780713.966,100,1,9942.139269,1,0,1,2,0,1,0,5429811.206,93.92976781,1,9099.733605,3,3,842.4056638,17516.12428,33.69622655,700.6449712
2019-07-01T04:00,1,0,0,2,1,0,1,5780713.966,100,1,10271.46788,1,0,1,2,0,1,0,5708969.187,98.75889416,1,9390.648924,3,3,880.8189574,18396.94324,35.2327583,735.8777295
2019-07-01T05:00,1,0,0,2,1,0,1,5780713.966,100,1,10457.70023,1,0,1,2,0,1,0,5582167.617,96.56536632,0,6322.400801,3,2,4135.299429,22532.24267,165.4119771,901.2897066
2019-07-01T06:00,1,0,0,2,1,0,1,5780713.966,100,1,10773.2622,1,0,1,2,0,1,0,5780713.966,100,1,9845.199936,3,3,928.0622655,23460.30493,37.12249062,938.4121973
2019-07-01T07:00,1,0,0,2,1,0,1,5780713.966,100,1,11572.87811,1,0,1,2,0,1,0,5587898.374,96.66450213,0,7025.076853,3,2,4547.80126,28008.10619,181.9120504,1120.324248
2019-07-01T08:00,1,0,0,2,1,0,1,5780713.966,100,1,12256.345,1,0,1,2,0,1,0,5760892.606,99.65711226,1,11148.56863,3,3,1107.776371,29115.88256,44.31105482,1164.635302
2019-07-01T09:00,1,0,0,2,1,0,1,5780713.966,100,1,12114.87098,1,0,1,2,0,1,0,5780713.966,100,1,11034.42252,3,3,1080.448453,30196.33101,43.21793812,1207.853241
2019-07-01T10:00,1,0,0,2,1,0,1,5780713.966,100,1,12619.0991,1,0,1,2,0,1,0,5780713.966,100,1,11464.81475,3,3,1154.28435,31350.61536,46.17137401,1254.024615
2019-07-01T11:00,1,0,0,2,1,0,1,5780713.966,100,1,13136.4818,1,0,0,2,0,0,0,5522969.854,95.54131007,0,7835.485796,3,2,5300.996006,36651.61137,212.0398402,1466.064455
2019-07-01T12:00,1,0,0,2,1,0,1,5780713.966,100,1,13022.75222,1,0,1,2,0,1,0,5616091.378,97.15221011,1,11575.84403,3,3,1446.908191,38098.51956,57.87632764,1523.940782
2019-07-01T13:00,0,0,0,2,0,0,0,4673244.855,80.84200123,0,630.6942616,0,0,0,2,0,0,0,4435081.681,76.72204,0,228.546437,0,0,402.1478245,38500.66739,16.08591298,1540.026695
2019-07-01T14:00,0,0,0,2,0,0,0,3605961.959,62.37917982,0,569.8484229,0,0,0,2,0,0,0,3292595.852,56.95829047,0,208.9919105,0,0,360.8565124,38861.5239,14.4342605,1554.460956
2019-07-01T15:00,0,0,0,2,0,0,0,2537848.602,43.90199234,0,571.0653428,0,0,0,2,0,0,0,2137364.404,36.97405574,0,215.3397978,0,0,355.7255449,39217.24944,14.2290218,1568.689978
2019-07-01T16:00,0,0,0,2,0,0,0,1510564.553,26.13110702,0,513.2153137,0,0,0,2,0,0,0,1040232.256,17.99487506,0,187.3616997,0,0,325.853614,39543.10306,13.03414456,1581.724122
2019-07-01T17:00,1,1,1,2,0,1,0,1831885.22,31.68960152,1,17072.55383,1,0,1,2,0,1,0,1159538.982,20.05875033,1,12093.70324,4,3,4978.850595,44521.95365,199.1540238,1780.878146
2019-07-01T18:00,1,1,1,2,0,1,0,2201582.319,38.08495512,1,17540.8278,1,0,1,2,0,1,0,1360131.148,23.52877441,1,12433.78845,4,3,5107.03935,49628.993,204.281574,1985.15972
2019-07-01T19:00,1,1,1,2,0,1,0,2537291.236,43.89235051,1,17778.45674,1,0,1,2,0,1,0,1532123.46,26.50405243,1,12589.2068,4,3,5189.249942,54818.24294,207.5699977,2192.729718
2019-07-01T20:00,1,1,1,2,0,1,0,2891708.562,50.02338084,1,17708.81925,1,0,1,2,0,1,0,1723085.792,29.80749094,1,12553.76637,4,3,5155.052887,59973.29583,206.2021155,2398.931833
2019-07-01T21:00,1,1,1,2,0,1,0,3293076.164,56.96659934,1,17277.0548,1,0,1,2,0,1,0,1934543.545,33.46547773,1,12271.13166,4,3,5005.923141,64979.21897,200.2369257,2599.168759
2019-07-01T22:00,1,1,1,2,0,1,0,3696053.399,63.93766273,1,16767.84271,1,0,1,2,0,1,0,2179146.483,37.6968398,1,11919.90056,4,3,4847.942143,69827.16112,193.9176857,2793.086445
2019-07-01T23:00,1,1,1,2,0,1,0,4106703.45,71.04145742,1,16376.33916,1,0,1,2,0,1,0,2434366.673,42.11186866,1,11648.51076,4,3,4727.828395,74554.98951,189.1131358,2982.19958
2019-07-02T00:00,1,1,1,2,0,1,0,4534856.244,78.44803032,1,16379.42633,1,0,1,2,0,1,0,2710777.839,46.89347812,1,11650.56148,4,3,4728.86485,79283.85436,189.154594,3171.354174
2019-07-02T01:00,1,1,1,2,0,1,0,4984371.537,86.22415098,1,16197.66064,1,0,1,2,0,1,0,3010816.805,52.08382256,1,11537.43194,4,3,4660.2287,83944.08306,186.409148,3357.763322
