Time,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147
6/25/19 0:00,18818.56247,0.517913282,0,0,0,0.578890101,0.626215745,0.544916761,0.533405571,0.433625715,0.454333035,0.892946163,0.569162165,0.60747806,0.509914609,0.607388353,0.436779687,0.462564521,0.408761592,0.593237734,0.563243113,0.577701527,0.607239565,0.514745223,0,0.58218137,0.521877995,0,0,0,0.942876476,0.903190509,0.37951714,0.487572176,0.533600889,0.855439089,0.7463132,0.499191844,0.279607592,0.470281862,0.549471004,0.465401821,0.4538968,0.524296674,0.455566574,0.459808436,0.470654165,0.259624315,0.487734134,0.275088241,0.494467793,0.558441225,0.303356279,0.027923438,0,0,0,0,0,0.364536839,0.391373924,0.424129449,0.378318874,0.431577634,1.169830395,0.494744215,0.523842663,0.360472859,0.401456875,0.346687923,0.431593423,0.428721943,0.657598337,0.131770178,0.563711813,0.120597794,0.130874565,0.455003985,0.624099843,0.596310998,0.405003734,0.785206737,0.401245241,0.456706739,0,0,0,0.621798124,0,0,0,0,0,0.515656673,0.736786474,0,0,0.601925948,0,0.587867429,0,0,0,0,0,0,0.564566123,0,0,0,0.622862397,0.609251934,0.591614856,1.305447051,1.303024521,0.240732997,0.604899945,0.579735634,0.380162818,0.153680937,0.472234541,0.588332206,0.099075957,0.148754075,0.115791983,0.152127843,0.131764392,0.143031706,0.495796425,0,0,0.467032379,0.471174413,0,0.637108628,0.46085669,0.479522886,0.634150994,0.965143653,0.219947578,0.242026442,0.460123382,0.620080166,0.594705615,0,0.40644335,0.457922011,0.432143484
6/25/19 1:00,15549.5587,0.523670897,0,0,0,0.658145547,0.626891865,0.617921982,0.600649148,0.491242704,0.51866098,0.889739657,0.555652863,0.592578586,0.546434771,0.609722186,0.499372018,0.524418502,0.476692463,0.606589103,0.573186469,0.552484986,0.599911293,0.573267633,0,0.573571483,0.532206836,0,0,0,0.948066437,0.870462163,0.370302898,0.551090698,0.621812184,0.845604267,0.7285391,0.499769665,0.259933523,0.462684257,0.555099588,0.465044558,0.44069173,0.527428666,0.4535888,0.467686991,0.465808849,0.255227577,0.474148324,0.26646545,0.483711435,0.573106183,0.297577567,0.028845339,0,0,0,0,0,0.354259276,0.385543783,0.403185095,0.381415705,0.425944648,1.159349164,0.488292415,0.508706034,0.348542553,0.391016014,0.342081988,0.425246628,0.445720807,0.643537797,0.130381287,0.546650274,0.119040844,0.129449427,0.528670877,0.620777216,0.579084544,0.412139956,0.77708133,0.454540196,0.503929339,0,0,0,0.563719205,0,0,0,0,0,0.600830304,0.717660176,0,0,0.66722835,0,0.660592495,0,0,0,0,0,0,0.539697649,0,0,0,0.596130448,0.582920696,0.565627154,1.28878122,1.285324698,0.236207207,0.692557766,0.665835904,0.364545863,0.118148509,0.451307164,0.551598848,0.111524061,0.142796756,0.119059445,0.14492242,0.137413519,0.154243328,0.490963596,0,0,0.464689935,0.467619866,0,0.619927365,0.458508917,0.542011494,0.621577083,0.948645038,0.199350653,0.241863149,0.421301065,0.696635498,0.655569623,0,0.471171512,0.501589163,0.427892209
6/25/19 2:00,15040.71697,0.515447631,0,0,0,0.666234331,0.62324888,0.636869181,0.612780393,0.493247181,0.513662246,0.685846071,0.541664503,0.577928882,0.545948512,0.597075939,0.492499541,0.523165369,0.480983138,0.608655635,0.54243338,0.527593433,0.589210852,0.580300013,0,0.561548257,0.501158346,0,0,0,0.934426672,0.834573335,0.365515583,0.561691842,0.639086878,0.833452568,0.712663641,0.474813201,0.254984608,0.454609281,0.54742018,0.456476482,0.443196252,0.518815774,0.444074075,0.457849805,0.456607885,0.248963468,0.472218657,0.24340794,0.47455879,0.546045685,0.26089088,0.010837844,0,0,0,0,0,0.340871915,0.377502267,0.388046341,0.380036847,0.409993115,1.1432617,0.477894976,0.497195816,0.33744207,0.382570489,0.333944482,0.419194419,0.439329852,0.628922737,0.114002873,0.534042429,0.103358942,0.113052705,0.533159251,0.601454424,0.561477893,0.374697575,0.767000861,0.463611649,0.509241797,0,0,0,0.451262859,0,0,0,0,0,0.605933056,0.696484053,0,0,0.678219815,0,0.670356091,0,0,0,0,0,0,0.515543441,0,0,0,0.569207049,0.55702239,0.540326426,1.247340867,1.242272873,0.223839344,0.713006437,0.69457598,0.354380905,0.124889811,0.429534961,0.535851609,0.124675619,0.121870236,0.094987668,0.146372783,0.136397703,0.114675026,0.482668274,0,0,0.453452359,0.447828285,0,0.606598873,0.445177393,0.543902193,0.60923881,0.93092839,0.175784349,0.235950485,0.360953345,0.716433821,0.669152571,0,0.465086498,0.502929774,0.400881377
6/25/19 3:00,17038.79905,0.526983312,0,0,0,0.700935149,0.610044001,0.673761508,0.635861406,0.498300622,0.514780861,0.577181577,0.537239442,0.556646464,0.547747669,0.590950255,0.493585216,0.527704541,0.492562889,0.603857944,0.549072452,0.496472743,0.570264762,0.600131152,0,0.54114418,0.50474145,0,0,0,0.909814046,0.795628347,0.368122693,0.584148765,0.667878762,0.814527624,0.691631203,0.471827247,0.23623682,0.440194896,0.541607955,0.446400809,0.432215494,0.512012412,0.433666764,0.444426441,0.450063625,0.22814764,0.456278216,0.242435794,0.463428967,0.557250776,0.270701456,0.001021191,0,0,0,0,0,0.316376352,0.35638927,0.363267169,0.359742338,0.39901096,1.116231287,0.457051939,0.474739692,0.317101566,0.363381534,0.313194303,0.398430605,0.414974497,0.608486645,0.105161291,0.511204982,0.094521658,0.104134771,0.538465622,0.589056541,0.53759021,0.369512109,0.60376564,0.474691155,0.514173457,0,0,0,0.443417915,0,0,0,0,0,0.615534125,0.668633892,0,0,0.711229963,0,0.704679828,0,0,0,0,0,0,0.485314161,0,0,0,0.535937827,0.524635698,0.508700764,1.244171714,1.233852535,0.203920045,0.743549168,0.446579104,0.329070159,0.071827869,0.400173615,0.505661907,0.114263116,0.114146641,0.109990556,0.13481553,0.122330884,0.126469344,0.466766283,0,0,0.438602466,0.438762688,0,0.582263206,0.411615421,0.553135015,0.584350379,0.902375325,0.167141105,0.208107738,0.345498509,0.749886956,0.704301261,0,0.481414355,0.508817842,0.388009824
6/25/19 4:00,22658.14212,0.459694332,0,0,0,0.551035921,0.564566864,0.524795344,0.431003682,0.37561867,0.388126737,0.53962981,0.400127414,0.550584515,0.382874302,0.510435514,0.351763451,0.38843505,0.347156263,0.519883253,0.472153381,0.466636734,0.473734144,0.404260555,0,0.46697896,0.471408529,0,0,0,0.851675393,0.78778765,0.389430685,0.395214823,0.446417869,0.74690999,0.653628718,0.470444371,0.218871241,0.434898469,0.524012147,0.445913089,0.416321762,0.494051477,0.432731831,0.437756654,0.43419413,0.202341946,0.452501842,0.222785199,0.443799758,0.547136795,0.265372098,-0.010463639,0,0,0,0,0,0.271209122,0.32414232,0.348467899,0.312759156,0.371655732,1.112604855,0.432815885,0.467674672,0.283725733,0.346038076,0.272179021,0.37716949,0.381869895,0.603814489,0.096302349,0.50158547,0.08635648,0.095274472,0.378622146,0.497668296,0.431505701,0.338512492,0.514596484,0.360032083,0.385172463,0,0,0,0.402541435,0,0,0,0,0,0.443025392,0.643957511,0,0,0.553852197,0,0.546711176,0,0,0,0,0,0,0.458490564,0,0,0,0.505517736,0.493546887,0.485639532,1.300037492,1.289856177,0.190490279,0.584409873,0.489950198,0.300759646,0.072926982,0.385046335,0.484803765,0.107726823,0.106856854,0.103114659,0.120818639,0.115638708,0.125944562,0.374046204,0,0,0.400435016,0.39636976,0,0.57275934,0.389224132,0.390884053,0.574428821,0.890273321,0.131491431,0.14918439,0.376896556,0.586423778,0.546766451,0,0.336727425,0.355706913,0.354813348
6/25/19 5:00,24281.33045,0.512397985,0,0,0,0.750092621,0.631284343,0.726534713,0.595747089,0.445665171,0.456296956,0.680006905,0.516311943,0.559401304,0.482419371,0.553643137,0.448403141,0.475412986,0.447223549,0.563691711,0.531045104,0.42107704,0.509860394,0.578485776,0,0.486417437,0.550151335,0,0,0,0.827316845,0.829032799,0.387180191,0.590663601,0.611054513,0.801278272,0.677494046,0.488432452,0.318880342,0.449818314,0.556027535,0.463325225,0.435952867,0.523342199,0.444860354,0.443937816,0.453440322,0.278933166,0.465876001,0.320674061,0.466229049,0.585250468,0.299767284,0.090358952,0,0,0,0,0,0.265737328,0.314427399,0.327572872,0.313811635,0.370194547,1.086333244,0.42397191,0.447548121,0.276113789,0.332346034,0.271240082,0.365598338,0.373654156,0.615685967,0.190679227,0.48200291,0.163203108,0.188541772,0.472664072,0.54300416,0.498163964,0.392432456,0.701441831,0.440395116,0.45547208,0,0,0,0.465562313,0,0,0,0,0,0.552439593,0.580102129,0,0,0.729763705,0,0.747673519,0,0,0,0,0,0,0.416009991,0,0,0,0.458086654,0.446649177,0.442287921,1.341116125,1.349893698,0.166194732,0.784010568,0.553876623,0.29869826,0.14698221,0.366709637,0.46633141,0.166640555,0.17091623,0.169197962,0.179620898,0.180856557,0.179659247,0.425918129,0,0,0.395377027,0.399536153,0,0.551330549,0.391571034,0.492034262,0.5524707,0.864298563,0.159637869,0.177039986,0.404622626,0.773810995,0.73877824,0,0.451142934,0.454648168,0.359164098
6/25/19 6:00,32289.183,0.646712606,0,0,0,1.090536501,0.765530267,0.98940188,0.876174282,0.598654524,0.591396195,0.775724107,0.528439055,0.65079841,0.656656138,0.689612738,0.629387768,0.643215123,0.60126369,0.694520918,0.666029645,0.493285242,0.482366592,0.838522268,0,0.489778151,1.014238773,0,0,0,0.874092371,0.863689731,0.48858248,0.847946195,0.87654101,0.948308355,0.811570806,0.536660186,0.407117124,0.488044374,0.609310932,0.496010056,0.475163679,0.575035659,0.503212535,0.499385938,0.518862779,0.377989093,0.505382705,0.411488063,0.502832231,0.632290914,0.336116045,0.341206728,0,0,0,0,0,0.321765298,0.374821124,0.384533992,0.37688412,0.404072867,1.109739668,0.462164736,0.466075238,0.301200314,0.37326593,0.291761082,0.409117644,0.413291151,0.743380445,0.398144743,0.530781849,0.336461828,0.334767954,0.627634438,0.664903004,0.615852132,0.411992627,0.752594801,0.552415712,0.575238453,0,0,0,0.549300977,0,0,0,0,0,0.751068672,0.611729082,0,0,1.027457339,0,1.02507916,0,0,0,0,0,0,0.498994292,0,0,0,0.540168641,0.524249522,0.509185066,1.475898079,1.476376748,0.294396714,1.056982181,0.695185713,0.34270941,0.284132838,0.47363858,0.54363351,0.121887958,0.130323227,0.171477621,0.165977046,0.173919836,0.162846809,0.400059861,0,0,0.474989501,0.47184773,0,0.60560413,0.45953975,0.676127389,0.606408995,0.88631036,0.153223259,0.172806996,0.524453054,1.029757029,0.994579974,0,0.589676247,0.620159604,0.385411356
6/25/19 7:00,48679.09829,0.399332155,0,0,0,0.740738577,0.574263945,0.692315963,0.586503303,0.451277247,0.430414501,0.610167572,0.455984137,0.475979029,0.448443706,0.435030196,0.433807487,0.472025537,0.402844662,0.457634027,0.434861751,0.596975979,0.386887787,0.572099578,0,0.399813885,0.661329989,0,0,0,0.932655375,0.920504411,0.470572167,0.575711436,0.602821679,0.661910033,0.606508374,0.372569179,0.302218725,0.347384886,0.405568806,0.35022351,0.331364182,0.395945014,0.36500622,0.353272566,0.34725512,0.280433112,0.361228159,0.298857965,0.367856997,0.418512648,0.311863546,0.262675315,0,0,0,0,0,0.277550324,0.291278862,0.273501247,0.292134511,0.323778139,0.990102163,0.361428624,0.327261376,0.255852231,0.299998826,0.250795822,0.3256397,0.323557546,0.5249997,0.314838427,0.351975583,0.277629189,0.275214636,0.434130423,0.42956137,0.467801294,0.417101671,0.585581105,0.401389239,0.416808028,0,0,0,0.489301276,0,0,0,0,0,0.524293825,0.699871545,0,0,0.739790255,0,0.709328323,0,0,0,0,0,0,0.612838106,0,0,0,0.636307304,0.617864287,0.575495126,1.426322995,1.399918478,0.175392234,0.735973515,0.6765676,0.281072896,0.236006962,0.482232761,0.534911312,0.09857715,0.10233527,0.133727316,0.131089552,0.135344845,0.13645248,0.316719732,0,0,0.376271006,0.37407595,0,0.406200957,0.367107318,0.468132016,0.406204187,0.817075421,0.150624227,0.160057957,0.568523986,0.750959233,0.712914816,0,0.399175058,0.414884771,0.319404468
6/25/19 8:00,54542.66636,0.358827902,0,0,0,0.706164608,0.535688348,0.665030962,0.555765762,0.438515762,0.436234403,0.576968596,0.458302727,0.456508808,0.466106653,0.382803627,0.450934998,0.472415215,0.417869442,0.399457349,0.39058975,0.693098688,0.413142419,0.552676143,0,0.418083823,0.580713326,0,0,0,0.98395091,0.986592849,0.518875738,0.559215795,0.605879686,0.627620529,0.569767776,0.379825666,0.314870882,0.352767946,0.384409202,0.342311101,0.331997924,0.382557228,0.366316912,0.350519469,0.355486146,0.313544523,0.371477934,0.31457593,0.378238214,0.40323364,0.342582241,0.271997063,0,0,0,0,0,0.314175988,0.311036633,0.290319166,0.310968476,0.349863458,1.015044136,0.366606992,0.340073002,0.285151275,0.319867827,0.279276028,0.339778889,0.336486413,0.506027758,0.32335059,0.364800604,0.285169765,0.280753261,0.414629841,0.40071381,0.452868465,0.461787715,0.563001225,0.423680561,0.425454543,0,0,0,0.500785046,0,0,0,0,0,0.498204956,0.799950816,0,0,0.713499814,0,0.668368057,0,0,0,0,0,0,0.71003051,0,0,0,0.730630196,0.712104839,0.652579945,1.411904842,1.392652323,0.210375061,0.698757445,0.679136845,0.303761191,0.270937432,0.570820572,0.620640792,0.0575172,0.063521047,0.10345148,0.092750099,0.101456104,0.107911914,0.324511372,0,0,0.387857463,0.387007306,0,0.407628537,0.387886958,0.459223202,0.405957007,0.856616618,0.194577536,0.199121482,0.624259988,0.714998119,0.68546985,0,0.415156963,0.427880981,0.341047733
6/25/19 9:00,59503.84824,0.380385347,0,0,0,0.721637406,0.519376682,0.70703886,0.583281127,0.452023912,0.451684351,0.553611505,0.451872597,0.454850858,0.481430315,0.386810033,0.466750766,0.496098917,0.439040719,0.396684493,0.39378862,0.737752997,0.413959682,0.584267829,0,0.422860929,0.594448424,0,0,0,1.010793261,1.01047655,0.473576097,0.586423978,0.63208068,0.596113677,0.559932228,0.378225017,0.322220267,0.356581271,0.38868263,0.342351869,0.350288799,0.381055223,0.368676215,0.356642821,0.357878265,0.323466547,0.382424216,0.322007945,0.378595161,0.403307209,0.351435624,0.213494557,0,0,0,0,0,0.326699536,0.317605733,0.301194621,0.316920421,0.359151186,1.020245302,0.368718683,0.34814013,0.29891802,0.330230643,0.292639722,0.345755715,0.340294351,0.492431587,0.300555285,0.373740928,0.333098538,0.257573906,0.447590442,0.42145158,0.455238062,0.477340215,0.545782973,0.444609575,0.445139366,0,0,0,0.491272947,0,0,0,0,0,0.49714157,0.844229322,0,0,0.743886805,0,0.708538394,0,0,0,0,0,0,0.753996192,0,0,0,0.775983056,0.755856796,0.713889324,1.421088069,1.408122466,0.238359864,0.737114484,0.69628767,0.314040245,0.275374157,0.616107974,0.661682944,-0.003180418,0.023021219,0.040055883,0.0256342,0.033333655,0.041702544,0.314257494,0,0,0.387940646,0.388584595,0,0.416287846,0.391365173,0.472565263,0.413231932,0.871413062,0.200481902,0.211095269,0.691616852,0.74270415,0.714055846,0,0.438023996,0.451067587,0.350404466
