Time,Baseline,DR
6/25/19 0:00,499,499
6/25/19 0:01,499,499
6/25/19 0:02,499,499
6/25/19 0:03,500,500
6/25/19 0:04,497,497
6/25/19 0:05,497,497
6/25/19 0:06,497,497
6/25/19 0:07,499,499
6/25/19 0:08,499,499
6/25/19 0:09,499,499
6/25/19 0:10,498,498
6/25/19 0:11,498,498
6/25/19 0:12,498,498
6/25/19 0:13,498,498
6/25/19 0:14,495,495
6/25/19 0:15,495,495
6/25/19 0:16,493,493
6/25/19 0:17,493,493
6/25/19 0:18,493,493
6/25/19 0:19,493,493
6/25/19 0:20,495,495
6/25/19 0:21,495,495
6/25/19 0:22,497,497
6/25/19 0:23,497,497
6/25/19 0:24,494,494
6/25/19 0:25,494,494
6/25/19 0:26,494,494
6/25/19 0:27,494,494
6/25/19 0:28,494,494
6/25/19 0:29,494,494
6/25/19 0:30,495,495
6/25/19 0:31,495,495
6/25/19 0:32,493,493
6/25/19 0:33,492,492
6/25/19 0:34,492,492
6/25/19 0:35,492,492
6/25/19 0:36,492,492
6/25/19 0:37,492,492
6/25/19 0:38,494,494
6/25/19 0:39,494,494
6/25/19 0:40,494,494
6/25/19 0:41,494,494
6/25/19 0:42,492,492
6/25/19 0:43,492,492
6/25/19 0:44,492,492
6/25/19 0:45,491,491
6/25/19 0:46,491,491
6/25/19 0:47,491,491
6/25/19 0:48,491,491
6/25/19 0:49,491,491
6/25/19 0:50,490,490
6/25/19 0:51,490,490
6/25/19 0:52,490,490
6/25/19 0:53,490,490
6/25/19 0:54,490,490
6/25/19 0:55,490,490
6/25/19 0:56,488,488
6/25/19 0:57,488,488
6/25/19 0:58,486,486
6/25/19 0:59,486,486
6/25/19 1:00,485,485
6/25/19 1:01,485,485
6/25/19 1:02,487,487
6/25/19 1:03,487,487
6/25/19 1:04,489,489
6/25/19 1:05,489,489
6/25/19 1:06,489,489
6/25/19 1:07,489,489
6/25/19 1:08,489,489
6/25/19 1:09,489,489
6/25/19 1:10,488,488
6/25/19 1:11,488,488
6/25/19 1:12,488,488
6/25/19 1:13,488,488
6/25/19 1:14,488,488
6/25/19 1:15,488,488
6/25/19 1:16,488,488
6/25/19 1:17,488,488
6/25/19 1:18,488,488
6/25/19 1:19,488,488
6/25/19 1:20,488,488
6/25/19 1:21,488,488
6/25/19 1:22,486,486
6/25/19 1:23,486,486
6/25/19 1:24,486,486
6/25/19 1:25,484,484
6/25/19 1:26,483,483
6/25/19 1:27,483,483
6/25/19 1:28,485,485
6/25/19 1:29,485,485
6/25/19 1:30,483,483
6/25/19 1:31,483,483
6/25/19 1:32,481,481
6/25/19 1:33,481,481
6/25/19 1:34,480,480
6/25/19 1:35,478,478
6/25/19 1:36,478,478
6/25/19 1:37,478,478
6/25/19 1:38,480,480
6/25/19 1:39,477,477
6/25/19 1:40,477,477
6/25/19 1:41,479,479
6/25/19 1:42,479,479
6/25/19 1:43,479,479
6/25/19 1:44,477,477
6/25/19 1:45,477,477
6/25/19 1:46,477,477
6/25/19 1:47,475,475
6/25/19 1:48,475,475
6/25/19 1:49,475,475
6/25/19 1:50,477,477
6/25/19 1:51,477,477
6/25/19 1:52,477,477
6/25/19 1:53,477,477
6/25/19 1:54,477,477
6/25/19 1:55,477,477
6/25/19 1:56,477,477
6/25/19 1:57,477,477
6/25/19 1:58,477,477
6/25/19 1:59,477,477
6/25/19 2:00,477,477
6/25/19 2:01,477,477
6/25/19 2:02,477,477
6/25/19 2:03,475,475
6/25/19 2:04,475,475
6/25/19 2:05,474,474
6/25/19 2:06,474,474
6/25/19 2:07,474,474
6/25/19 2:08,474,474
6/25/19 2:09,476,476
6/25/19 2:10,476,476
6/25/19 2:11,476,476
6/25/19 2:12,474,474
6/25/19 2:13,474,474
6/25/19 2:14,474,474
6/25/19 2:15,474,474
6/25/19 2:16,474,474
6/25/19 2:17,474,474
6/25/19 2:18,476,476
6/25/19 2:19,474,474
6/25/19 2:20,474,474
6/25/19 2:21,474,474
6/25/19 2:22,472,472
6/25/19 2:23,470,470
6/25/19 2:24,470,470
6/25/19 2:25,470,470
6/25/19 2:26,470,470
6/25/19 2:27,470,470
6/25/19 2:28,468,468
6/25/19 2:29,470,470
6/25/19 2:30,468,468
6/25/19 2:31,468,468
6/25/19 2:32,468,468
6/25/19 2:33,466,466
6/25/19 2:34,467,467
6/25/19 2:35,467,467
6/25/19 2:36,465,465
6/25/19 2:37,465,465
6/25/19 2:38,465,465
6/25/19 2:39,467,467
6/25/19 2:40,467,467
6/25/19 2:41,467,467
6/25/19 2:42,467,467
6/25/19 2:43,464,464
6/25/19 2:44,464,464
6/25/19 2:45,464,464
6/25/19 2:46,462,462
6/25/19 2:47,462,462
6/25/19 2:48,460,460
6/25/19 2:49,460,460
6/25/19 2:50,460,460
6/25/19 2:51,458,458
6/25/19 2:52,460,460
6/25/19 2:53,458,458
6/25/19 2:54,455,455
6/25/19 2:55,455,455
6/25/19 2:56,455,455
6/25/19 2:57,455,455
6/25/19 2:58,455,455
6/25/19 2:59,455,455
6/25/19 3:00,457,457
6/25/19 3:01,457,457
6/25/19 3:02,457,457
6/25/19 3:03,457,457
6/25/19 3:04,457,457
6/25/19 3:05,457,457
6/25/19 3:06,457,457
6/25/19 3:07,455,455
6/25/19 3:08,455,455
6/25/19 3:09,454,454
6/25/19 3:10,452,452
6/25/19 3:11,453,453
6/25/19 3:12,453,453
6/25/19 3:13,453,453
6/25/19 3:14,453,453
6/25/19 3:15,453,453
6/25/19 3:16,455,455
6/25/19 3:17,455,455
6/25/19 3:18,455,455
6/25/19 3:19,455,455
6/25/19 3:20,455,455
6/25/19 3:21,455,455
6/25/19 3:22,455,455
6/25/19 3:23,455,455
6/25/19 3:24,455,455
6/25/19 3:25,455,455
6/25/19 3:26,455,455
6/25/19 3:27,455,455
6/25/19 3:28,455,455
6/25/19 3:29,455,455
6/25/19 3:30,455,455
6/25/19 3:31,453,453
6/25/19 3:32,452,452
6/25/19 3:33,450,450
6/25/19 3:34,448,448
6/25/19 3:35,448,448
6/25/19 3:36,446,446
6/25/19 3:37,444,444
6/25/19 3:38,444,444
6/25/19 3:39,443,443
6/25/19 3:40,443,443
6/25/19 3:41,443,443
6/25/19 3:42,444,444
6/25/19 3:43,440,440
6/25/19 3:44,440,440
6/25/19 3:45,440,440
6/25/19 3:46,440,440
6/25/19 3:47,440,440
6/25/19 3:48,436,436
6/25/19 3:49,436,436
6/25/19 3:50,434,434
6/25/19 3:51,432,432
6/25/19 3:52,432,432
6/25/19 3:53,428,428
6/25/19 3:54,430,430
6/25/19 3:55,430,430
6/25/19 3:56,428,428
6/25/19 3:57,428,428
6/25/19 3:58,426,426
6/25/19 3:59,430,430
6/25/19 4:00,430,430
6/25/19 4:01,430,430
6/25/19 4:02,432,432
6/25/19 4:03,432,432
6/25/19 4:04,436,436
6/25/19 4:05,436,436
6/25/19 4:06,436,436
6/25/19 4:07,436,436
6/25/19 4:08,435,435
6/25/19 4:09,435,435
6/25/19 4:10,435,435
6/25/19 4:11,435,435
6/25/19 4:12,435,435
6/25/19 4:13,436,436
6/25/19 4:14,436,436
6/25/19 4:15,436,436
6/25/19 4:16,436,436
6/25/19 4:17,436,436
6/25/19 4:18,434,434
6/25/19 4:19,434,434
6/25/19 4:20,433,433
6/25/19 4:21,433,433
6/25/19 4:22,433,433
6/25/19 4:23,433,433
6/25/19 4:24,434,434
6/25/19 4:25,434,434
6/25/19 4:26,435,435
6/25/19 4:27,435,435
6/25/19 4:28,436,436
6/25/19 4:29,436,436
6/25/19 4:30,436,436
6/25/19 4:31,436,436
6/25/19 4:32,436,436
6/25/19 4:33,436,436
6/25/19 4:34,436,436
6/25/19 4:35,436,436
6/25/19 4:36,436,436
6/25/19 4:37,436,436
6/25/19 4:38,436,436
6/25/19 4:39,436,436
6/25/19 4:40,436,436
6/25/19 4:41,436,436
6/25/19 4:42,436,436
6/25/19 4:43,434,434
6/25/19 4:44,434,434
6/25/19 4:45,434,434
6/25/19 4:46,434,434
6/25/19 4:47,434,434
6/25/19 4:48,432,432
6/25/19 4:49,431,431
6/25/19 4:50,431,431
6/25/19 4:51,431,431
6/25/19 4:52,429,429
6/25/19 4:53,429,429
6/25/19 4:54,429,429
6/25/19 4:55,429,429
6/25/19 4:56,429,429
6/25/19 4:57,429,429
6/25/19 4:58,427,427
6/25/19 4:59,427,427
6/25/19 5:00,428,428
6/25/19 5:01,430,430
6/25/19 5:02,429,429
6/25/19 5:03,431,431
6/25/19 5:04,431,431
6/25/19 5:05,430,430
6/25/19 5:06,430,430
6/25/19 5:07,431,431
6/25/19 5:08,428,428
6/25/19 5:09,428,428
6/25/19 5:10,429,429
6/25/19 5:11,430,430
6/25/19 5:12,428,428
6/25/19 5:13,428,428
6/25/19 5:14,431,431
6/25/19 5:15,432,432
6/25/19 5:16,432,432
6/25/19 5:17,429,429
6/25/19 5:18,429,429
6/25/19 5:19,430,430
6/25/19 5:20,432,432
6/25/19 5:21,430,430
6/25/19 5:22,428,428
6/25/19 5:23,429,429
6/25/19 5:24,430,430
6/25/19 5:25,431,431
6/25/19 5:26,432,432
6/25/19 5:27,435,435
6/25/19 5:28,435,435
6/25/19 5:29,435,435
6/25/19 5:30,437,437
6/25/19 5:31,437,437
6/25/19 5:32,437,437
6/25/19 5:33,438,438
6/25/19 5:34,440,440
6/25/19 5:35,440,440
6/25/19 5:36,440,440
6/25/19 5:37,441,441
6/25/19 5:38,440,440
6/25/19 5:39,436,436
6/25/19 5:40,434,434
6/25/19 5:41,430,430
6/25/19 5:42,431,431
6/25/19 5:43,432,432
6/25/19 5:44,432,432
6/25/19 5:45,432,432
6/25/19 5:46,433,433
6/25/19 5:47,431,431
6/25/19 5:48,430,430
6/25/19 5:49,431,431
6/25/19 5:50,431,431
6/25/19 5:51,433,433
6/25/19 5:52,432,432
6/25/19 5:53,435,435
6/25/19 5:54,435,435
6/25/19 5:55,434,434
6/25/19 5:56,434,434
6/25/19 5:57,434,434
6/25/19 5:58,438,438
6/25/19 5:59,436,436
6/25/19 6:00,439,439
6/25/19 6:01,440,440
6/25/19 6:02,440,440
6/25/19 6:03,440,440
6/25/19 6:04,440,440
6/25/19 6:05,443,443
6/25/19 6:06,445,445
6/25/19 6:07,448,448
6/25/19 6:08,449,449
6/25/19 6:09,451,451
6/25/19 6:10,453,453
6/25/19 6:11,453,453
6/25/19 6:12,456,456
6/25/19 6:13,457,457
6/25/19 6:14,459,459
6/25/19 6:15,458,458
6/25/19 6:16,460,460
6/25/19 6:17,463,463
6/25/19 6:18,464,464
6/25/19 6:19,467,467
6/25/19 6:20,469,469
6/25/19 6:21,471,471
6/25/19 6:22,471,471
6/25/19 6:23,476,476
6/25/19 6:24,476,476
6/25/19 6:25,478,478
6/25/19 6:26,479,479
6/25/19 6:27,481,481
6/25/19 6:28,483,483
6/25/19 6:29,484,484
6/25/19 6:30,487,487
6/25/19 6:31,490,490
6/25/19 6:32,495,495
6/25/19 6:33,494,494
6/25/19 6:34,495,495
6/25/19 6:35,497,497
6/25/19 6:36,498,498
6/25/19 6:37,498,498
6/25/19 6:38,500,500
6/25/19 6:39,502,502
6/25/19 6:40,502,502
6/25/19 6:41,504,504
6/25/19 6:42,503,503
6/25/19 6:43,503,503
6/25/19 6:44,506,506
